Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment
君臨天下一樓４房車庭院戶,30000,26.64,29,1,4,桃園市,桃園市桃園區向善街/君臨天下,電梯大廈,4房2廳2衛 - 2陽台1廚房,,"['有對外窗', '有中庭', '陽台']"
黃金地段首選✨全新店面✨樓上辦公室✨各行皆可詢問✨,38000,30,0,1,0,台中市,台中市中區臺灣大道一段,電梯大廈,,,
可租補⚡全新⚡近忠孝夜市⚡中興大學,12799,15,0,6,1,台中市,台中市南區南平路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
全新兩房⚡可寵物⚡陽台獨洗⚡可租捕⚡職業友善子母車,21000,15,0,2,2,台中市,台中市北區太平路,透天厝,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']"
全新⚡可租補⚡近忠孝夜市⚡中興大學,9499,13,0,5,1,台中市,台中市南區和昌街,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
大甲正光明路透店,28000,65,49,3,0,台中市,台中市大甲區光明路,透天厝,,,['為邊間']
Q2D01）捷運三和國中【優質2房1廳】租補★開伙,13500,18,20.1,3,1,新北市,新北市三重區三和路四段,公寓,1房1衛,,
可貓✨雙租屋補助✨乾溼分離✨木質地板✨電梯,10499,10,0,4,0,台中市,台中市龍井區台灣大道五段,電梯大廈,開放式格局,,"['有對外窗', '陽台']"
中國醫⭐租屋補助⭐採光⭐小資價,5499,9,0,5,1,台中市,台中市北區大德街,公寓,1房1衛,,['有對外窗']
租補✨採光佳✨陽台獨洗✨室內機車位✨子母車✨飲水機,6000,10,0,2,1,台中市,台中市龍井區新興路,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
中台慈濟全新優質未住✅乾濕分離電梯✅大衣櫃機車位,12000,14,0,3,1,台中市,台中市北屯區軍功路二段,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
秒殺2+1●合租超划算●三井新時代●中興大●火車站,14499,18,0,2,2,台中市,台中市南區建成路,透天厝,2房1廳1衛 - 1室,,['有對外窗']
親親戲院✨秒殺✔子母車專屬洗衣機,3499,10,0,3,1,台中市,台中市北區進化北路,透天厝,1房1衛,,
M3F75）公館商圈【超值3房2廳】可寵★租補入籍,25000,25,20.1,3,3,新北市,新北市永和區秀朗路二段,公寓,3房2廳1衛 - 1陽台1廚房,,
可租補、貓寵♥陽台獨洗♥教育大學♥中華夜市♥中國醫,7800,11,18.2,4,1,台中市,台中市西區日興街,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
秒殺★一房一廳★美美的裝潢★可租補可貓貓貓,9500,14,0,5,1,台中市,台中市龍井區台灣大道五段,電梯大廈,1房1廳1衛,,
M1A69）捷運永安市場【電梯1房1廳】陽台★警衛,21000,14,21.2,3,1,新北市,新北市永和區保平路,電梯大廈,1房1衛 - 1陽台1廚房,,
可營登♥平價辦公室♥機械平移車位♥74環線♥軍功,16000,35,20.2,13,0,台中市,台中市北屯區東山路一段/聖文心廣場,電梯大廈,2室1陽台,,['有對外窗']
B0C24）捷運忠孝敦化【優質電梯】採光★垃圾代收,18500,6,20.1,5,1,台北市,台北市大安區忠孝東路四段,電梯大廈,1房1衛,,
爬梯二樓☆可寵☆子母車☆飲水機☆陽台獨洗曬☆流理臺,12000,14,0.1,2,1,台中市,台中市北區中清路一段,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
透天電梯☆可貓☆子母車☆獨洗☆採光佳☆室內機車位,11000,13,5.1,3,1,台中市,台中市東區力行路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
陽台獨洗✨租屋補助✨乾溼衛浴✨台電計✨,9599,13,0,4,0,台中市,台中市北區文祥街,電梯大廈,開放式格局,,"['有對外窗', '陽台']"
中國醫⭐獨曬窗⭐可短租⭐乾溼分離,5499,8.9,0,4,1,台中市,台中市北區永興街,透天厝,1房1衛,,['有對外窗']
超新電梯❤️雙租補❤️乾溼分離❤️陽台獨洗曬❤️,13999,14,0,3,1,台中市,台中市北區中山路,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
雙租補❤️機車位❤️子母車❤️管理室❤️陽台洗曬,11999,12,0,4,1,台中市,台中市西屯區環中路三段,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
內湖五期民權東路六段行愛路新湖路,95000,89.98,0,5,1,台北市,台北市內湖區行忠路,辦公,,,
內科 民權東路六段 邊間採光好辦公,65120,92.93,0,6,1,台北市,台北市內湖區民權東路六段,辦公,,,
近行善路、舊宗路、內湖五期、獨立空調、豪華辦公室、開放空間,159125,126.29,0,5,1,台北市,台北市內湖區金莊路,辦公,,,
巨蛋商圈#瑞豐夜市#百星綠第高樓層3+1房(含管),22000,39.77,0,12,3,高雄市,高雄市鼓山區裕誠路/百星綠第,電梯大廈,3房2廳2衛,,
農16高樓溫馨美2房,24500,24.68,19.5,12,2,高雄市,高雄市鼓山區富農路/京城巴黎,電梯大廈,2房1廳1衛,,
新崛江大坪數3＋1房,25000,64.19,35.7,6,4,高雄市,高雄市新興區新田路,電梯大廈,4房2廳2衛,,
民族西路2樓免爬高2房,28000,15.6,0,2,2,台北市,台北市大同區民族西路,公寓,2房1廳1衛,,
高應大建工商圈歐夏蕾3+1房平車,25000,27.5,18.1,3,3,高雄市,高雄市三民區灣中街/歐夏蕾,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"['有對外窗', '為邊間', '陽台']"
捷運ＮＡＳＡ科技辦公,1395500,930.32,0,2,0,台北市,台北市內湖區內湖路一段,辦公,,,
近太原火車站精緻套房Ｎ,15000,7,0,5,1,台中市,台中市北屯區南京東路三段,其他,1房1衛,,
內湖路一段大馬路土地,72360,60.3,0,0,0,台北市,台北市內湖區內湖路一段,土地,,,
ＩＣＯＭＥ高樓層景觀通風,24000,12.44,0,9,1,台北市,台北市內湖區南京東路六段,辦公,,,
信義臨江商圈整層商辦(可拆租),461072,233.54,29.5,12,0,台北市,台北市信義區基隆路二段,電梯大廈,開放式格局,,['為邊間']
南港軟體園區辦公室,298000,288.67,0,20,0,台北市,台北市南港區經貿二路,辦公,,,
璀璨河景˙波堤三房平車,29000,42.76,0,11,3,高雄市,高雄市鼓山區河西一路,電梯大廈,3房2廳2衛,,
彌陀區特登倉庫廠房,96000,425,0,0,0,高雄市,高雄市彌陀區山霸畑路,土地,,,
內湖五期精質商辦,200000,113.99,5.3,5,0,台北市,台北市內湖區新湖一路,辦公,,,
高雄大學近家樂福景觀全新裝潢3房平車(含車含管),32000,22.1,0,14,3,高雄市,高雄市楠梓區大學南路/永信原旭,電梯大廈,3房2廳2衛 - 2陽台1廚房,,['有對外窗']
陽光街精美辦公,128000,88.9,14.3,1,0,台北市,台北市內湖區陽光街,辦公,,,
