Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url
7~10人小型辦公空間,60000,13.5,43.0,10,1,高雄市,高雄市鹽埕區府北路/金鹽埕大廈,電梯大廈,1房1廳1衛 - 1廚房,,"['有對外窗', '為邊間']",https://www.rakuya.com.tw/rent/rent_item?ehid=0c953d28732526c
豐原雙租補✨可寵貓✨一房一廳✨車位可租,16500,18.0,0.0,4,1,台中市,台中市豐原區豐原大道七段/豐原A+A,電梯大廈,1房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=06a3d728732442a
✨獨立洗脫烘✨租屋補助✨採光通風✨秒殺物件✨,8999,13.0,0.0,3,1,台中市,台中市西屯區福安七街,電梯大廈,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=080668287161708
✨可貓咪✨獨洗凸窗✨租屋補助✨精美裝潢✨秒殺物件✨,8999,15.0,0.0,4,1,台中市,台中市中區市府路,電梯大廈,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0b0b2528721032c
✨秒殺物件✨租屋補助✨陽台獨洗✨採光通風✨速洽✨,13999,16.0,0.0,4,1,台中市,台中市西屯區西屯路二段,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=06d86d28721281d
✨電梯可貓咪✨一房一廳✨雙租屋補助✨獨洗獨曬✨秒殺,13999,17.0,0.0,7,1,台中市,台中市北區健行路,電梯大廈,1房1廳1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0eebf4287212912
✨可貓電梯兩房一聽✨雙租屋補助✨陽台獨洗✨流理台✨,20999,25.0,0.0,7,2,台中市,台中市北區健行路,電梯大廈,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=02c891287213012
✨電梯新屋✨陽台獨洗✨流理台✨租屋補助✨秒殺物件✨,10999,15.0,0.0,5,1,台中市,台中市烏日區大同路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0c827a287161547
✨電梯新屋✨雙租屋補助✨乾溼分離✨陽台獨洗✨秒殺✨,14400,16.0,0.0,3,1,台中市,台中市西屯區中工三路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=09bdf7287215096
O8A34）捷運板新站1分【採光辦公】電梯★可營登,45000,49.0,20.0,2,0,新北市,新北市板橋區中山路一段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=012df6287323617
可雙租補❤️可貓咪✨有飲水機✨陽台獨洗✨採光佳,9499,10.0,0.0,4,1,台中市,台中市北區篤行路,公寓,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0d394e287322568
永康稀有甲工可三照雙鐵門廠房,45000,110.0,0.0,1,0,台南市,台南市永康區中正南路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=019c3d28732207a
要搶要快❤️東海✨可貓咪✨可租補✨陽台獨洗,5499,9.0,0.0,1,1,台中市,台中市龍井區新興路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0eccc628732204a
超搶手雙租補❤️可貓咪✨陽台獨洗✨有子母車✨,10999,14.0,0.0,2,1,台中市,台中市北區雙十路二段,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=02bb21287320974
可雙租補❤️可貓咪✨一中✨有子母車✨全新整理,10999,14.0,0.0,2,1,台中市,台中市北區雙十路二段,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0ae203287319939
O2J85）國光國小【超值2房1廳】採光佳★可租補,16000,21.0,20.0,4,2,新北市,新北市板橋區中正路,公寓,2房1廳1衛 - 1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01346b287319334
捷和生活家：採光通風好/生活機能佳/優質社區管理,33232,31.5,28.0,9,3,新北市,新北市永和區保生路/捷和生活家,電梯大廈,3房2廳2衛 - 3陽台1廚房,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=05217b28736873a
（租)自由路電梯陽台套房-A,6600,5.0,0.0,4,1,屏東縣,屏東縣屏東市自由路,透天厝,1房1衛 - 1陽台,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0c156626271244e
閱讀左岸大4房優質社區超美裝潢(含管理費),28000,51.0,18.0,2,4,台南市,台南市安平區國平路/閱讀左岸,電梯大廈,4房2廳2衛 - 4室1陽台1廚房,,"['有對外窗', '有中庭', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=05344f287225057
靜宜超搶手❤️大空間✨可租補✨獨洗曬✨機車位,7999,10.0,0.0,3,1,台中市,台中市沙鹿區六路九街,公寓,1房1衛 - 1陽台,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=00554c287309003
超便宜❤️逢甲商圈✨可租補✨可短租✨有子母車,5199,9.0,0.0,1,1,台中市,台中市西屯區華夏巷西二弄,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01815d28729672f
西區大兩房❤️生活機能佳✨家電全配✨台水台電,28000,30.0,0.0,3,2,台中市,台中市西區精美街,電梯大廈,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=05f5e528728672f
快來看❤️一中商圈✨落地窗✨子母車✨陽台獨洗✨,10499,12.0,0.0,2,1,台中市,台中市北區五權路,電梯大廈,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=09d98528727278b
超搶手❤️逢甲商圈✨可租補✨有子母車✨可短租,4299,8.0,0.0,1,1,台中市,台中市西屯區華夏巷西二弄,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f3fd8287296930
可雙租補✨近何厝商圈✨可貓咪✨陽台獨洗✨子母車,10499,12.0,0.0,2,1,台中市,台中市西屯區何厝街,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=07372a287269478
超讚❤️近水湳、經貿✨可貓咪✨免費機車位✨可短租,6499,10.0,0.0,5,1,台中市,台中市北屯區大連路一段,公寓,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=097c11287278744
獨洗曬 大空間 採光佳 免爬高,7400,8.0,0.0,3,0,台中市,台中市北區梅亭街,公寓,開放式格局,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0bac7f28742050c
B3E93）國父紀念館站【電梯3房2衛】入籍★寵洽,60000,39.0,20.0,8,3,台北市,台北市大安區仁愛路四段,電梯大廈,3房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=019199287419735
獨洗曬 飲水機 室內機車位 子母車 租補,7900,8.0,0.0,3,0,台中市,台中市西區正福街,透天厝,開放式格局,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0cf723287419491
生活機能佳精華路段含網路冷氣第四台透天後面是草悟道,4800,6.0,40.0,2,1,台中市,台中市西區美村路一段,透天厝,1房1衛,,"['有對外窗', '為邊間']",https://www.rakuya.com.tw/rent/rent_item?ehid=0b1fd0287418065
中興大⭐可租補⭐衛浴窗⭐小資女必租,5799,9.0,0.0,5,1,台中市,台中市南區仁義街,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=093502287363608
B3E94）捷運忠孝新生【電梯3房2衛★租補】車洽,45000,32.0,20.0,9,3,台北市,台北市大安區建國南路一段,電梯大廈,3房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f66f0287411636
P2A45）捷運石牌3分【超值2房】垃圾代收★冷氣,27800,25.0,20.0,5,2,台北市,台北市北投區石牌路一段,公寓,2房2廳1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0cc9f9287406542
K2B66）捷運明德【採光2房】皆有窗★廚房★電梯,32000,23.0,20.0,8,2,台北市,台北市士林區克強路,電梯大廈,2房1廳1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0fbab828740396e
★賺錢金店面★,195000,99.6,0.0,2,0,高雄市,高雄市新興區自立二路/美麗綻,電梯大廈,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=046118287299239
可寵可租補社宅✨精緻2房小資首選✨嶺東文山商圈,22000,20.0,0.0,11,2,台中市,台中市南屯區文山三街,電梯大廈,2房1廳1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0986e028739407f
✨全新落成✨一房一廳⭐有電梯✨陽台獨洗✅流理臺,13999,15.0,0.0,1,1,台中市,台中市北區篤行路,電梯大廈,1房1廳1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0c5fe0284677799
獨立景觀質感套房@台電分算@獨洗曬@可租補@機車位,13800,14.0,0.0,6,1,台中市,台中市北區大德街,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=04bd9728248283b
✨超級秒殺✨小資首選✨近中國醫✨飲水機✨衛浴開窗✨,4999,8.0,0.0,5,1,台中市,台中市北區大德街,公寓,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=03c1ce281313885
1+1房⚡台水電⚡管理員⚡陽台獨洗⚡子母車⚡全配,24000,20.0,0.0,3,2,台中市,台中市西屯區合江街/文華悅,電梯大廈,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=027b96239463861
可短租/台體大/木質地板/便宜啦/難得稀有,5999,12.0,0.0,5,1,台中市,台中市北區健行路,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0fb77b202243156
北區可短租一個月拚速度陽台獨洗曬,7799,8.0,0.0,5,1,台中市,台中市北區太原八街,電梯大廈,1房1衛 - 1陽台,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=02d5f828338603e
❤近曉明❤可租屋補助❤獨洗獨曬❤採光佳❤子母車❤,7199,10.0,2.4,4,1,台中市,台中市北區文昌東一街,公寓,1房1衛,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=086475186239808
❤一中台體❤機車位❤陽台獨洗❤採光佳❤子母車❤,7499,10.0,4.4,3,1,台中市,台中市北區福樂街,電梯大廈,1房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=02b52313165661b
可雙租補可寵✅近新光遠百✅有電梯情侶最愛,10499,14.0,0.0,8,1,台中市,台中市西屯區寧夏路,電梯大廈,1房1廳1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=03f6c1279763976
租補可談✅近漢口路✅共洗窗曬✅多間可選請私,8500,12.0,0.0,3,1,台中市,台中市北區陜西東三街,電梯大廈,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=00cb0727819514f
逢甲可貓⭐陽台獨洗⭐1樓免爬⭐可租補,4999,8.7,0.0,1,1,台中市,台中市西屯區西屯路二段,公寓,1房1衛 - 1陽台,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=000606284282110
超新電梯/系統裝潢/陽台獨洗/東海工業區,6999,9.0,0.0,5,0,台中市,台中市西屯區順和三街,透天厝,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0417d0226995895
北區 可貓可雙租補電梯管理員2房住家,24500,20.0,0.0,4,2,台中市,台中市北區梅亭東街,電梯大廈,2房2廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0f0edf282359168
O0Q72）光復大橋【秒殺租案】租補★可寵★飲水機,10000,6.0,20.0,5,1,新北市,新北市板橋區中山路二段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=065d97286386258
❤️東海中科❤️共洗窗曬❤️可租補❤️室內機車位,5499,10.0,3.2,5,1,台中市,台中市龍井區新興路,電梯大廈,1房1衛,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0505ec283002944
陽台獨洗✨可租屋補助✨超大坪數✨可貓咪✨,13799,16.0,0.0,2,0,台中市,台中市北區瑞祥街,透天厝,開放式格局,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0d0c0c244192964
❤️西屯❤️可短租半年❤️可租補,5000,7.0,0.0,4,1,台中市,台中市西屯區至善路,透天厝,1房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=027472283651588
東海榮總✅租補可寵✅獨曬陽台✅系統書桌✅分離式冷氣,4500,8.0,0.0,5,1,台中市,台中市龍井區台灣大道五段,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=075c7627515885e
可租補⚡3房2廳⚡逢甲夜市,24000,30.0,0.0,6,3,台中市,台中市西屯區西安街/格林威治,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0ed6d428482114f
近南軟內科交通便利全新辦公大樓,81195,54.13,0.0,2,1,台北市,台北市內湖區南京東路六段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a7bc113022571e
稀有杜拜三面採光辦公,155000,172.07,0.0,8,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0700de27108620d
金莊美辦公５,67000,53.6,0.0,8,0,台北市,台北市內湖區金莊路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02c2d0274651596
內科園區質感大空間辦公,388000,213.08,0.0,2,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e1b1d276993438
內科西湖捷運優質辦公I,287715,191.45,17.5,5,0,台北市,台北市內湖區內湖路一段,華廈,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0eb737258961673
西湖站A級辦公6,211746,149.4,15.9,10,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=040f1325624302c
內湖科學園C區整層廠辦,650000,244.56,0.0,3,0,台北市,台北市內湖區行愛路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=050bae235223581
美麗綻-1+2大樓店面,220000,99.6,0.0,2,0,高雄市,高雄市新興區自立二路/美麗綻,店面,,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e347f27385455b
杜拜國際氣派辦公,235763,132.08,0.0,1,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08b985270548948
內湖近捷運採光辦公大樓,236209,132.33,0.0,1,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0da1f5270548952
杜拜國際高樓層辦公,174395,123.03,0.0,10,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03243c27055694c
松仁路一層一戶象山站,528352,330.22,0.0,10,1,台北市,台北市信義區松仁路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a5e9318221849b
｛余育賢｝中央公園❤蛋黃區商辦大樓❤室內兩百坪,88000,247.14,44.0,2,0,高雄市,高雄市苓雅區中山二路/日榮大樓,電梯大廈,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00006e283477931
誠租大安站管理美屋,32000,11.74,0.0,3,0,台北市,台北市大安區信義路三段,其他,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ab472280057326
套房價租整棟小2房✨小家庭合租必看✨請看內文,8500,18.23,0.0,2,2,台中市,台中市南區和平一巷,透天厝,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=06a61a28524170d
內科園區大直美麗華景觀2室,34000,30.84,15.3,9,0,台北市,台北市內湖區堤頂大道二段/大直上城,電梯大廈,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01572e281729568
里昂氣派辦公,220000,110.75,0.0,6,0,台北市,台北市內湖區瑞光路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092938247430767
松仁路一層一戶象山站,511996,330.32,0.0,8,1,台北市,台北市信義區松仁路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00230f181930757
ＪＯＪＯ漂亮大空間,31000,27.5,0.0,8,0,台北市,台北市中山區敬業二路,其他,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0d5cd928457397a
近南軟內科交通便利全新辦公大樓,81195,54.13,0.0,2,1,台北市,台北市內湖區南京東路六段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a7bc113022571e
稀有杜拜三面採光辦公,155000,172.07,0.0,8,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0700de27108620d
金莊美辦公５,67000,53.6,0.0,8,0,台北市,台北市內湖區金莊路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02c2d0274651596
內科園區質感大空間辦公,388000,213.08,0.0,2,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e1b1d276993438
內科西湖捷運優質辦公I,287715,191.45,17.5,5,0,台北市,台北市內湖區內湖路一段,華廈,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0eb737258961673
西湖站A級辦公6,211746,149.4,15.9,10,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=040f1325624302c
內湖科學園C區整層廠辦,650000,244.56,0.0,3,0,台北市,台北市內湖區行愛路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=050bae235223581
美麗綻-1+2大樓店面,220000,99.6,0.0,2,0,高雄市,高雄市新興區自立二路/美麗綻,店面,,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e347f27385455b
杜拜國際氣派辦公,235763,132.08,0.0,1,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08b985270548948
內湖近捷運採光辦公大樓,236209,132.33,0.0,1,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0da1f5270548952
杜拜國際高樓層辦公,174395,123.03,0.0,10,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03243c27055694c
松仁路一層一戶象山站,528352,330.22,0.0,10,1,台北市,台北市信義區松仁路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a5e9318221849b
｛余育賢｝中央公園❤蛋黃區商辦大樓❤室內兩百坪,88000,247.14,44.0,2,0,高雄市,高雄市苓雅區中山二路/日榮大樓,電梯大廈,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00006e283477931
誠租大安站管理美屋,32000,11.74,0.0,3,0,台北市,台北市大安區信義路三段,其他,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ab472280057326
套房價租整棟小2房✨小家庭合租必看✨請看內文,8500,18.23,0.0,2,2,台中市,台中市南區和平一巷,透天厝,2房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=06a61a28524170d
內科園區大直美麗華景觀2室,34000,30.84,15.3,9,0,台北市,台北市內湖區堤頂大道二段/大直上城,電梯大廈,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01572e281729568
里昂氣派辦公,220000,110.75,0.0,6,0,台北市,台北市內湖區瑞光路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092938247430767
松仁路一層一戶象山站,511996,330.32,0.0,8,1,台北市,台北市信義區松仁路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00230f181930757
ＪＯＪＯ漂亮大空間,31000,27.5,0.0,8,0,台北市,台北市中山區敬業二路,其他,1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0d5cd928457397a
近南軟內科交通便利全新辦公大樓,81195,54.13,0.0,2,1,台北市,台北市內湖區南京東路六段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a7bc113022571e
稀有杜拜三面採光辦公,155000,172.07,0.0,8,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0700de27108620d
金莊美辦公５,67000,53.6,0.0,8,0,台北市,台北市內湖區金莊路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02c2d0274651596
內科園區質感大空間辦公,388000,213.08,0.0,2,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e1b1d276993438
內科西湖捷運優質辦公I,287715,191.45,17.5,5,0,台北市,台北市內湖區內湖路一段,華廈,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0eb737258961673
西湖站A級辦公6,211746,149.4,15.9,10,0,台北市,台北市內湖區堤頂大道二段,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=040f1325624302c
內湖科學園C區整層廠辦,650000,244.56,0.0,3,0,台北市,台北市內湖區行愛路,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=050bae235223581
美麗綻-1+2大樓店面,220000,99.6,0.0,2,0,高雄市,高雄市新興區自立二路/美麗綻,店面,,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e347f27385455b
杜拜國際氣派辦公,235763,132.08,0.0,1,0,台北市,台北市內湖區堤頂大道二段/杜拜大樓,辦公,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08b985270548948
